BudgetLOB,BudgetGroup,BudgetLine,d1,d2,d3,d4,d5,d6,d7,Status,FranchiseNo,FranchiseName,FinancialYear,FinancialMonth,CalendarYear,CalendarMonth,CalendarPeriod,CalendarStartDate,CalendarEndDate,MACH_SERIAL_No,InvoiceDate,InvoiceNo,InvoiceOrderNo,InvoiceVersionNo,InvoiceLineNo,AttachedToSerialNo,CustomerAccount,CustomerBillAccount,CustomerName,BillTitle,BillToCustomer,BillAddress1,BillAddress2,BillAddress3,PostCode,TypeOfSale,PickingNo,DeliveryMode,ShipDate,ShipAccNo,ShipName,ShipTitle,ShipBuilding,ShipStreetNo,ShipStreetName,ShipSuburb,CustomerOrderRef,UserID,Comment1,Comment2,Comment3,ProfitGroup,ProfitGroupDescription,ProfitCentre,ProfitCentreDescription,CustomerCategory,CustomerPurchaseHold,ApplyTo,StockItem,WarehouseCode,WarehouseDescription,Warehouse,SalesmanCode,SalesmanName,DepartmentCode,DepartmentName,ReleasedBy,GRNNo,ManualRefNo,ReasonCode,ReasonCodeDescription,CreditController,CreditControllerName,Branch,UnitOfMeasure,Chargable,Serialized,InsComm,EngineerCode,EngineerNo,EngineerName,Content,ContentSubType,ProductType,ProductTypeDescription,ProductCode,ProductCodeDescription,ProductCategory,ProductCategoryDescription,ProductRank,ProductSubtype,ProductSupplier,NashuaProd,MachineStatus,MachineCondition,TradeInSerialNo,SettlementValue,Segment,SegmentDescription,InvoiceType,StockQuantitiesIssued,QTYOrdered,QTYPicked,QtyBackOrder,UnitPrice,UnitCost,QTY,DiscAccountNo,DiscPcnt,DiscountValue,TaxPercentage,CostPrice,SellingPrice,Margin,TaxValue,LineTotal,Rundate,ShipDateDay
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,LTX3104D6,2020/06/29,100951,45423,1,1,,14463,14463,MARTHA MAURINE DU PLESSIS,JONCOLL ART & CRAFT,MARTHA MAURINE DU PLESSIS,P O BOX 345,,KAKAMAS,8870,Cash,0,,2020-06-29,14463,JONCOLL ART & CRAFT,,,C/O,ELFDE AVE & VAN DER WALT STREE,KAKAMAS,HOLIDAY PAYMENT,ANINE,CONTRACT EXTENDED WITH 4,MONTHS,CR - FREE COPIES/RENTAL ALLOW,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,98279,N,999,None,999_None,100,SALES,100,SALES,CHARLYN,0,14463,223,,NOC,NOCR CUSTOMERS,1,EA,,N,0.0,,0,,Non-Stock Charges,MTRRENT,*,CHARGES - INVOICE ONLY,MTRRENT,Rental,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Credit Note,0,-1,-1,0,7357.41,0.0,,0,0.0,0.0,15,0.0,-7357.41,-7357.41,-1103.61,-8461.02,29:20.6,29
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/16,100861,45312,1,1,,14506,14506,NASHUA BLOEMFONTEIN,,NASHUA BLOEMFONTEIN,P O BOX 4441,,BLOEMFONTEIN,9300,Inter-Fra Sale/Billing,0,,1900-01-01,14506,NASHUA BLOEMFONTEIN,,,65,SAND DU PLESSIS AVENUE,BLOEMFONTEIN,DSR TO PAY,DSRINVSRV3,FOR MACHINES IN UPP AREA,THAT ARE OWNED BY BLM,,BLM,NASHUA BLOEMFONTEIN,FRA,FRANCHISE ACOUNTS,0,Business Accounts,0,N,999,None,999_None,202,INSTALLATION COMM,200,SERVICE,DSRINVSRV3,0,0,0,,FRA,FRANCHISE ACCOUNTS,1,EA,,N,0.0,,0,,Non-Stock Charges,DSRCHARGE,*,CHARGES - INVOICE ONLY,DSRCHARGE,DSR:BLM prior 2020/06/15,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,351.09,0.0,,0,0.0,0.0,0,0.0,351.09,351.09,0.0,351.09,29:20.6,1
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure,Annuity,Consumable,Other,Developer,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/11,100075,45239,1,1,,21904,21904,UPP SPARES - MARTIN LAURENSON,,UPP SPARES - MARTIN LAURENSON,P O BOX,,UPINGTON,8800,Cash,27450,Not Applicable,2020-06-11,21904,UPP SPARES - MARTIN LAURENSON,,,28,KORT STREET,UPINGTON,W912PB07846,GERALDINE,W912PB07846,,,999,Unknown,INH,INHOUSE ACCOUNTS,6,Nashua In-House,0,Y,2,SPARES W/H,002_SPARES W/H,200,SERVICE,200,SERVICE,GERALDINE,0,0,0,,INH,INHOUSE,1,EA,,N,,,0,,Parts,Developer,YDNR,CONS SPARES DEVELOPER RICOH,B1219645,DEV.BLK(DEV28)(B1219640)AF2015,Non,None,AB,DEV,,Y,Sold,Blank,,0.0,PART,Parts,Ship & Invoice,1,1,1,0,0.0,640.25,1.0,0,0.0,0.0,15,640.25,0.0,-640.25,0.0,0.0,29:20.6,11
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure,Annuity,Consumable,Other,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,D211Z601031,2020/06/30,100960,45419,1,1,,19638,19638,HOERSKOOL ORANJEZICHT,,HOERSKOOL ORANJEZICHT,3 LOOP STREET,ACACAIA PARK,KEIMOES,8860,Incl Cons Sale,27549,Truck,2020-06-30,19638,HOERSKOOL ORANJEZICHT,,,,LOOP STREET AKASIA,KEIMOES,MNR W.VAN ROOI,MARLIB,,,M/R BLK 1026033,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,402,SUPPIES N/C TONERS,400,SUPPLIES,ANINE,0,0,0,,SCH,ANINE STENEKAMP,1,EA,,N,0.0,,0,,Consumables,Priport,ZVNI,CONS PRIPORT NAS PP INK,PIDX2330BLS,"TON-D211Z601031,Yld35000",Non,None,,TON,,Y,Sold,Blank,,0.0,PRIP,Priports,Incl Cons Sale,5,5,5,0,0.0,179.0,5.0,0,0.0,0.0,15,895.0,0.0,-895.0,0.0,0.0,29:20.6,30
,,,Non-Core,Hardware,Non-Nashua,Accessory,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/11,100064,45129,1,2,,15659,15659,AFRIKAANSE CHRISTELIKE VROUE,VEREENIGING UPINGTON,AFRIKAANSE CHRISTELIKE VROUE,P O BOX 398,,UPINGTON,8800,Non-Contract,27379,,2020-06-02,15659,AFRIKAANSE CHRISTELIKE VROUE,VEREENIGING UPINGTON,,,LE ROUX STREET,UPINGTON,ACVV,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,102,STEFAN BOTHMA,100,SALES,ANINE,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,,,0,,Non_Nashua,Accessory,OAOX,OTHER ACCESSORY TECHNICAL,ANTI VIRUS,ANTI VIRUS,Non,None,None,,,N,Sold,Blank,,0.0,,,Dem Sale,1,1,1,0,0.0,189.0,1.0,0,0.0,0.0,15,189.0,0.0,-189.0,0.0,0.0,29:20.6,2
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,E336M421239,2020/06/05,100006,45169,1,1,,19529,19529,LAERSKOOL LOUBOS - DEPARTMENT,OF EDUCATION (NORTHEN CAPE),LAERSKOOL LOUBOS - DEPARTMENT,P O BOX 16,,MIER,8811,Incl Cons Sale,27398,Truck,2020-06-05,19529,LAERSKOOL LOUBOS - DEPARTMENT,OF EDUCATION (NORTHEN CAPE),,,LOUBOS WAY,MIER,MNR SMITH,MARLIB,,,M/R BLK 104368,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,402,SUPPIES N/C TONERS,400,SUPPLIES,ANINE,0,0,0,,SCH,ANINE STENEKAMP,1,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP2501E,"TON-E336M421239,Yld9000",Non,None,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Incl Cons Sale,1,1,1,0,0.0,433.0,1.0,0,0.0,0.0,15,433.0,0.0,-433.0,0.0,0.0,29:20.6,5
Voice & Data,VOIP,VOIP,Voice and Data,Managed Services,VOIP,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,LTE 1GB 0729963126,2020/06/15,100113,45271,1,1,,15555,15555,LAERSKOOL MCTAGGARTSKAMP,,LAERSKOOL MCTAGGARTSKAMP,POSKANTOOR,,DYASONSKLIP,8805,Customer Billing,0,Not Applicable,1900-01-01,15555,LAERSKOOL MCTAGGARTSKAMP,,,VIA,P K DAYSONSKLIP,UPINGTON,VOICE CONTRACT,UPPPROCESS,Contract# CBC0008889,Contract Type VOIP,LTE 1GB 0729963126,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,420,JACO MOSTERT,100,SALES,,0,0,0,,SCH,ANINE STENEKAMP,1,EA,,N,0.0,,0,,Non-Stock Charges,VOIP L/RENT,*,CHARGES - INVOICE ONLY,VOIP L/RENT,Monthly Fee: July 2020,Non,None,,,,Y,Sold,Blank,,0.0,,Blank,VOIP Invoice,0,1,1,0,299.0,0.0,,0,0.0,0.0,15,0.0,299.0,299.0,44.85,343.85,29:20.6,1
,,,Non-Core,Annuity,Consumable,Other,Stationary,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/23,100909,45377,1,1,,14540,14540,UPINGTON CASH SALE ONLY,,UPINGTON CASH SALE ONLY,P O BOX 2473,,UPINGTON,8800,Cash,0,Truck,2020-06-23,14540,AMY,,,28,KORT STREET,UPINGTON,AMY,MARLIB,CANCELLATION OF D/D# 027510,,,999,Unknown,CSH,CASH ACCOUNTS,0,Business Accounts,100908,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,422,MARLI BEKKER,400,SUPPLIES,MARLIB,230620,45365,304,,BUS,BUSINESS ACCOUNTS,1,EA,,N,0.0,,0,,Consumables,Stationary,ZOOX,CONS OTHR STATNRY NON-NAS ALL,CTP-D-41082T,DIARY A4 SOFT TOUCH PURP 2017,Non,None,None,,,N,Sold,Blank,,0.0,,,Goods Returned,-3,-3,-3,0,140.0,84.17,-3.0,0,0.0,0.0,15,-252.51,-420.0,-167.49,-63.0,-483.0,29:20.6,23
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,E07908095,2020/06/15,100095,45253,1,15,E01953329,22115,22115,UPINGTON TREKKERS EN IMPLEMENT,E (EDMS)BPK,UPINGTON TREKKERS EN IMPLEMENT,P O BOX  1929,,UPINGTON,8800,Non-Contract,27463,,2020-06-15,22115,UPINGTON TREKKERS EN IMPLEMENT,E (EDMS)BPK,,29,TOEKOM STREET,UPINGTON,UPINGTON TREKKERS,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,102,STEFAN BOTHMA,100,SALES,ANINE,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,Y,,,0,,CCTV,Accessory,BAND,CCTV ACCESSORY NASHUA DIGITAL,2CD2025FWDI4,IP 2MP BULLET IR 30M-4MM IP66,Non,None,,,,Y,Sold,Blank,,0.0,,Blank,Dem Sale,1,1,1,0,0.0,1274.52,1.0,0,0.0,0.0,15,1274.52,0.0,-1274.52,0.0,0.0,29:20.6,15
Business Infrastructure,Consumables,HP Contractual,Business Infrastructure,Annuity,Consumable,HP,Toner,Laser Cartridge,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/29,100945,45429,1,1,,17367,17367,OBIE PROPERTIES,,OBIE PROPERTIES,P O BOX 2228,,UPINGTON,8800,Cash,27540,Truck,2020-06-29,17367,OBIE PROPERTIES,,,10,PROGRES STREET,UPINGTON,ADELE,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,422,MARLI BEKKER,400,SUPPLIES,ANINE,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,,,0,,Consumables,Toner,ZTHL,CONSUMABLES HP LASER PRINTERS,CE390A,HP LASERJET M4555 MFP BLCK,HPI,HPI HP INKS,,TON,,Y,Sold,Blank,,0.0,CONHPBT,Cons.HP Black Toner,Ship & Invoice,1,1,1,0,1200.0,929.0,1.0,0,0.0,0.0,15,929.0,1200.0,271.0,180.0,1380.0,29:20.6,29
ISP Services,ISP Services,PCs and Servers,ISP Services,Hardware,PC,Machine,Notebooks,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,3NJBC33,2020/06/11,100068,45187,1,1,,15659,15659,AFRIKAANSE CHRISTELIKE VROUE,VEREENIGING UPINGTON,AFRIKAANSE CHRISTELIKE VROUE,P O BOX 398,,UPINGTON,8800,Cash,27410,,2020-06-08,15659,AFRIKAANSE CHRISTELIKE VROUE,VEREENIGING UPINGTON,,,LE ROUX STREET,UPINGTON,ACVV,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,102,STEFAN BOTHMA,100,SALES,ANINE,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,Y,,,0,,PC,Machine,PMNA,PC HARDWARE NASHUA,N2060BVN3590,DELL VOSTRO 3590 I5-1021U,Non,None,,NTB,,Y,Sold,Blank,,0.0,,Blank,Dem Sale,1,1,1,0,0.0,10150.0,1.0,0,0.0,0.0,15,10150.0,0.0,-10150.0,0.0,0.0,29:20.6,8
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/15,100107,45265,1,2,,14468,14468,KEIMOES COMBINED SCHOOL,,KEIMOES COMBINED SCHOOL,UPINGTON STREET,,KEIMOES,8860,Customer Billing,0,Not Applicable,1900-01-01,14468,KEIMOES COMBINED SCHOOL,,,,UPINGTON STREET,KEIMOES,609916442,UPPPROCESS,Contract# CBC0008299,Contract Type VOIP,609916442,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,420,JACO MOSTERT,100,SALES,,0,0,0,,SCH,ANINE STENEKAMP,1,EA,,N,0.0,,0,,Non-Stock Charges,VOIP,*,CHARGES - INVOICE ONLY,VOIP,2020-05-15 to 2020-06-14,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,VOIP Invoice,0,1,1,0,220.26,0.0,,0,0.0,0.0,15,0.0,220.26,220.26,33.04,253.3,29:20.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/15,100116,45274,1,2,,18136,18136,KAI GARIB MUNICIPALITY,,KAI GARIB MUNICIPALITY,P.O BOX 174,,KAKAMAS,8870,Customer Billing,0,Not Applicable,1900-01-01,18136,KAI GARIB MUNICIPALITY,,,,11TH AVENUE,KAKAMAS,VOICE CONTRACT,UPPPROCESS,Contract# CBC0009168,Contract Type VOIP,609975302,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,420,JACO MOSTERT,100,SALES,,0,0,0,,NOC,NOCR CUSTOMERS,1,EA,,N,0.0,,0,,Non-Stock Charges,VOIP,*,CHARGES - INVOICE ONLY,VOIP,2020-05-15 to 2020-06-14,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,VOIP Invoice,0,1,1,0,137.42,0.0,,0,0.0,0.0,15,0.0,137.42,137.42,20.61,158.03,29:20.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/15,100129,45287,1,2,,16791,16791,ALS OPERATIONS NORTH CAPE(PTY),LTD,ALS OPERATIONS NORTH CAPE(PTY),P O BOX 1444,,UPINGTON,8800,Customer Billing,0,Not Applicable,1900-01-01,16791,ALS OPERATIONS NORTH CAPE(PTY),LTD,,1072,OLYVENHOUTDRIFT,UPINGTON,VOICE CONTRACT,UPPPROCESS,Contract# CBC0016464,Contract Type VOIP,LTE 09602007908905,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,420,JACO MOSTERT,100,SALES,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,VOIP,*,CHARGES - INVOICE ONLY,VOIP,2020-05-15 to 2020-06-14,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,VOIP Invoice,0,1,1,0,95.92,0.0,,0,0.0,0.0,15,0.0,95.92,95.92,14.39,110.31,29:20.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/15,100132,45290,1,2,,19405,19405,CHARL BAARD LANBOUPRODUKTE CC,,CHARL BAARD LANBOUPRODUKTE CC,P O BOX 111,,KEIMOES,8860,Customer Billing,0,Not Applicable,1900-01-01,19405,CHARL BAARD LANBOUPRODUKTE CC,,,58,STASIE STREET,KEIMOES,VOICE CONTRACT,UPPPROCESS,Contract# CBC0016979,Contract Type VOIP,LTE 09602007908908,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,420,JACO MOSTERT,100,SALES,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,VOIP,*,CHARGES - INVOICE ONLY,VOIP,2020-05-15 to 2020-06-14,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,VOIP Invoice,0,1,1,0,819.87,0.0,,0,0.0,0.0,15,0.0,819.87,819.87,122.98,942.85,29:20.6,1
Business Infrastructure,Consumables,HP Contractual,Business Infrastructure,Annuity,Consumable,HP,Toner,Ink Cartridge,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,CN91PJX0GH,2020/06/02,99977,45130,1,1,,21621,21621,SC KEARNS SECONDARY SCHOOL,,SC KEARNS SECONDARY SCHOOL,PRIVATE BAG X 6037,,UPINGTON,8800,Incl Cons Sale,27380,Truck,2020-06-02,21621,SC KEARNS SECONDARY SCHOOL,,,1,HONEY SUCKLE STREET,UPINGTON,MEV TITUS,MARLIB,ALREADY DELIVERD DD8777,,M/R BLK 6509 COL 5215,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,402,SUPPIES N/C TONERS,400,SUPPLIES,MARLIB,0,0,0,,SCH,ANINE STENEKAMP,1,EA,,N,0.0,,0,,Consumables,Toner,ZTHI,CONSUMABLES HP INKJET PRINTER,L0S07AE,"INK-CN91PJX0GH,Yld10000",HPC,HP CONSUMABLES CONRACTUAL,,INK,,Y,Sold,Blank,,0.0,CONHPBT,Cons.HP Black Toner,Incl Cons Sale,1,1,1,0,0.0,1503.49,1.0,0,0.0,0.0,15,1503.49,0.0,-1503.49,0.0,0.0,29:20.6,2
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,V4408701583,2020/06/05,100013,45181,1,2,,16442,16442,OXIROSTAX PTY LTD,NASHUA WINELANDS (CSC),OXIROSTAX PTY LTD,P O BOX 988,,SOMERSET MALL,7137,Cash,0,Not Applicable,1900-01-01,16442,NASHUA WINELANDS (CSC),,NASHUA HOUSE BLOCK G,OU,PAARDEVLEI ROAD,SOMERSET WEST,P/O 181406,GERALDINE,V4408701583,,,CSC,NASHUA WINELANDS (CSC),FRA,FRANCHISE ACOUNTS,0,Business Accounts,0,N,999,None,999_None,200,SERVICE,200,SERVICE,GERALDINE,0,0,0,,FRA,FRANCHISE ACCOUNTS,1,EA,,N,0.0,,0,,Non-Stock Charges,MTRSERV,*,CHARGES - INVOICE ONLY,MTRSERV,SERVICE CHARGES/LABOUR,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,200.0,0.0,,0,0.0,0.0,15,0.0,200.0,200.0,30.0,230.0,29:20.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100972,45452,1,11,,14645,14645,JAPIE GOUSSARD VAN DEVENTER,MAPICO SERVICE,JAPIE GOUSSARD VAN DEVENTER,P O BOX 935,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,14645,MAPICO SERVICE,MAPICO SERVICE,,3,TOEKOMS STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 077947,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,37.79,0.0,,0,0.0,0.0,0,0.0,37.79,37.79,0.0,37.79,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100972,45452,1,23,,14645,14645,JAPIE GOUSSARD VAN DEVENTER,MAPICO SERVICE,JAPIE GOUSSARD VAN DEVENTER,P O BOX 935,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,14645,MAPICO SERVICE,MAPICO SERVICE,,3,TOEKOMS STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 081982,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,31.23,0.0,,0,0.0,0.0,0,0.0,31.23,31.23,0.0,31.23,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100972,45452,1,57,,14645,14645,JAPIE GOUSSARD VAN DEVENTER,MAPICO SERVICE,JAPIE GOUSSARD VAN DEVENTER,P O BOX 935,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,14645,MAPICO SERVICE,MAPICO SERVICE,,3,TOEKOMS STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 098356,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,26.98,0.0,,0,0.0,0.0,0,0.0,26.98,26.98,0.0,26.98,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100975,45455,1,34,,15746,15746,ILUX TRADE AND INVEST(PTY)LTD,,ILUX TRADE AND INVEST(PTY)LTD,P O BOX 3200,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,15746,ILUX TRADE AND INVEST(PTY)LTD,,,29,LE ROUX STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,NOC,NOCR CUSTOMERS,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 094858,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,4.44,0.0,,0,0.0,0.0,0,0.0,4.44,4.44,0.0,4.44,29:20.6,30
Business Infrastructure,Consumables,Colour,Business Infrastructure,Annuity,Consumable,Other,Toner,,Colour,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,E256C230008,2020/06/11,100049,45224,1,1,,18136,18136,KAI GARIB MUNICIPALITY,,KAI GARIB MUNICIPALITY,P.O BOX 174,,KAKAMAS,8870,Incl Cons Sale,27442,Truck,2020-06-11,18136,KAI GARIB MUNICIPALITY,,AFROL KAMER HOOFGEBO,,HOOF STREET,KEIMOES,TASNE,MARLIB,,,M/R BLK 387173 COL 500890,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,402,SUPPIES N/C TONERS,400,SUPPLIES,ANINE,0,0,0,,NOC,NOCR CUSTOMERS,1,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONPROC5100M,"TCM-E256C230008,Yld30000",Non,None,,TCM,,Y,Sold,Blank,,0.0,CCON,Colour Consumables,Incl Cons Sale,1,1,1,0,0.0,3488.0,1.0,0,0.0,0.0,15,3488.0,0.0,-3488.0,0.0,0.0,29:20.6,11
